date,ticker,open,high,low,close,adj_close,ajexdi,volume
2024-11-19,META,551.86,561.43,550.6,561.09,561.0900,1,9122540
2024-11-19,MSFT,413.11,417.94,411.55,417.79,417.7900,1,17388980
2024-11-19,NVDA,141.32,147.13,140.99,147.01,147.0100,1,224778800
2024-11-19,WMT,86.23,88.29,85.91,86.6,86.6000,1,36260400
2024-11-19,XOM,119.75,119.75,118.2,118.63,118.6300,1,11575470
2024-11-20,AAPL,228.06,229.93,225.89,229,229.0000,1,35078720
2024-11-20,AMZN,202.98,203.13,199.45,202.88,202.8800,1,32666290
2024-11-20,GOOGL,177.34,177.675,173.78,175.98,175.9800,1,18969830
2024-11-20,JNJ,153.03,153.25,151.81,153.11,153.1100,1,9060309
2024-11-20,JPM,244.4,244.61,238.64,240.78,240.7800,1,9013339
2024-11-20,META,562.93,566.3499,554.2001,565.52,565.5200,1,9740807
2024-11-20,MSFT,416.87,417.29,410.58,415.49,415.4900,1,18491240
2024-11-20,NVDA,147.41,147.56,142.73,145.89,145.8900,1,298087800
2024-11-20,WMT,86.6,87.2,85.91,87.18,87.1800,1,18160830
2024-11-20,XOM,119.17,120.47,118.64,120.32,120.3200,1,11352360
2024-11-21,AAPL,228.88,230.155,225.7103,228.52,228.5200,1,40955300
2024-11-21,AMZN,203.49,203.49,195.75,198.38,198.3800,1,58582390
2024-11-21,GOOGL,173.9,174.13,163.7,167.63,167.6300,1,59573340
2024-11-21,JNJ,153.62,156.06,152.81,155.5,155.5000,1,9482414
2024-11-21,JPM,243.23,245.49,242.105,244.76,244.7600,1,8780308
2024-11-21,META,569.52,570,549.05,563.09,563.0900,1,11113730
2024-11-21,MSFT,419.5,419.78,410.2887,412.87,412.8700,1,20588830
2024-11-21,NVDA,149.35,152.89,140.7,146.67,146.6700,1,399777500
2024-11-21,WMT,87.45,88.64,86.93,88.39,88.3900,1,18717120
2024-11-21,XOM,121.08,122.5547,120.27,121.93,121.9300,1,14667820
2024-11-22,AAPL,228.06,230.7199,228.06,229.87,229.8700,1,38128830
2024-11-22,AMZN,198.25,199.2599,196.75,197.12,197.1200,1,31445430
2024-11-22,GOOGL,165.85,166.46,163.9,164.76,164.7600,1,38539440
2024-11-22,JNJ,155.9,157.115,154.11,155.17,155.1700,1,8262165
2024-11-22,JPM,243.61,249.15,243.0347,248.55,248.5500,1,7994235
2024-11-22,META,563.55,563.8273,554.59,559.14,559.1400,1,9153414
2024-11-22,MSFT,411.365,417.4,411.06,417,417.0000,1,24074400
2024-11-22,NVDA,145.93,147.16,141.1,141.95,141.9500,1,235459900
2024-11-22,WMT,89.41,90.91,88.93,90.44,90.4400,1,23972420
2024-11-22,XOM,121.82,123.21,121.64,121.79,121.7900,1,12934490
2024-11-25,AAPL,231.46,233.245,229.74,232.87,232.8700,1,89946370
2024-11-25,AMZN,199.28,201.9499,199,201.45,201.4500,1,40489500
2024-11-25,GOOGL,166.09,168.63,165.6072,167.65,167.6500,1,33069390
2024-11-25,JNJ,155.17,157.035,155.14,155.78,155.7800,1,12251430
2024-11-25,JPM,249.59,254.31,249.06,250.29,250.2900,1,10292120
2024-11-25,META,562.1,572.5915,556.39,565.11,565.1100,1,13566100
2024-11-25,MSFT,418.38,421.08,414.85,418.79,418.7900,1,27142640
2024-11-25,NVDA,141.99,142.05,135.82,136.02,136.0200,1,328385200
2024-11-25,WMT,90.5,90.95,89.06,89.5,89.5000,1,25042550
2024-11-25,XOM,121.43,121.88,119.61,119.97,119.9700,1,26572680
2024-11-26,AAPL,233.33,235.57,233.33,235.06,235.0600,1,45873450
2024-11-26,AMZN,201.9,208,201.79,207.86,207.8600,1,41537250
2024-11-26,GOOGL,167.63,169.82,167.58,169.12,169.1200,1,20450400
2024-11-26,JNJ,155.16,155.25,153.16,154.52,154.5200,1,5680311
2024-11-26,JPM,250.49,251,248.34,249.97,249.9700,1,6209705
2024-11-26,META,566,577.5,565.2,573.54,573.5400,1,10334680
2024-11-26,MSFT,419.585,429.0414,418.85,427.99,427.9900,1,23417960
2024-11-26,NVDA,137.7,139.3,135.67,136.92,136.9200,1,189326400
2024-11-26,WMT,89.89,91.88,89.84,91.31,91.3100,1,16386600
2024-11-26,XOM,119.53,119.68,117.845,117.97,117.9700,1,14814080
2024-11-27,AAPL,234.465,235.69,233.8101,234.93,234.9300,1,33469690
2024-11-27,AMZN,206.98,207.64,205.05,205.74,205.7400,1,27984850
2024-11-27,GOOGL,169,169.4832,168.02,169.23,169.2300,1,19240190
2024-11-27,JNJ,154.63,156.63,154.6,155.4,155.4000,1,4135810
2024-11-27,JPM,249.35,251.19,248.771,249.79,249.7900,1,5466449
2024-11-27,META,574.89,574.98,564.1001,569.2,569.2000,1,7066749
2024-11-27,MSFT,425.105,427.2299,422.02,422.99,422.9900,1,18111150
2024-11-27,NVDA,135.01,137.22,131.8,135.34,135.3400,1,225190300
2024-11-27,WMT,92,92.25,91.31,91.88,91.8800,1,14334590
2024-11-27,XOM,118.09,118.73,117.43,117.66,117.6600,1,11067870
2024-11-29,AAPL,234.805,237.81,233.97,237.33,237.3300,1,28481380
2024-11-29,AMZN,205.83,208.2,204.59,207.89,207.8900,1,24892450
2024-11-29,GOOGL,168.5,169.43,167.16,168.95,168.9500,1,14257240
2024-11-29,JNJ,154.89,155.67,154.169,155.01,155.0100,1,5687821
2024-11-29,JPM,249.86,251.77,249.445,249.72,249.7200,1,5494825
2024-11-29,META,569,578.46,566.9,574.32,574.3200,1,7130519
2024-11-29,MSFT,420.09,424.8849,417.8,423.46,423.4600,1,16271920
2024-11-29,NVDA,136.78,139.35,136.05,138.25,138.2500,1,141863200
2024-11-29,WMT,92.26,92.64,91.82,92.5,92.5000,1,11041180
2024-11-29,XOM,117.44,118.5,116.95,117.96,117.9600,1,9426499
2024-12-02,AAPL,237.27,240.79,237.16,239.59,239.5900,1,42392640
2024-12-02,AMZN,209.96,212.99,209.5101,210.71,210.7100,1,39464850
2024-12-02,GOOGL,168.765,172.075,168.57,171.49,171.4900,1,23514070
2024-12-02,JNJ,154.75,155,153.9258,154.8,154.8000,1,6945552
2024-12-02,JPM,249.55,250.25,245.03,246.25,246.2500,1,8896581
2024-12-02,META,577.5,594.5,575.57,592.83,592.8300,1,12385520
2024-12-02,MSFT,421.57,433,421.31,430.98,430.9800,1,20182420
2024-12-02,NVDA,138.83,140.45,137.825,138.63,138.6300,1,169831500
2024-12-02,WMT,92.82,92.9887,91.95,92.64,92.6400,1,17162220
2024-12-02,XOM,118.05,118.2,116.82,117.85,117.8500,1,12684540
2024-12-03,AAPL,239.81,242.76,238.9,242.65,242.6500,1,38667960
2024-12-03,AMZN,210.31,214.02,209.65,213.44,213.4400,1,32105440
2024-12-03,GOOGL,171.49,172.68,170.85,171.34,171.3400,1,22213310
2024-12-03,JNJ,154.8,154.8,152.305,152.36,152.3600,1,8671104
2024-12-03,JPM,248.23,249.04,244.63,244.82,244.8200,1,6651563
